Member_number,Date,productId,items,order_id,productName,price,Category,Total_Cost,Month
1024,2015-08-10,42,3,95,fish,10.2,Fresh Food,30.599999999999998,2015-08
1295,2015-07-23,9,2,1077,frankfurter,5.5,Fresh Food,11.0,2015-07
1661,2015-06-01,13,1,2442,packaged fruit/vegetables,3.5,Fresh Food,3.5,2015-06
4591,2015-05-15,24,3,13425,pastry,3.1,Bakery & Sweets,9.3,2015-05
3169,2015-06-14,4,2,8085,other vegetables,0.8,Fresh Food,1.6,2015-06
3915,2015-05-21,28,3,10874,misc. beverages,1.2,Beverages,3.5999999999999996,2015-05
1127,2015-01-14,9,3,463,frankfurter,5.5,Fresh Food,16.5,2015-01
4828,2015-08-08,43,1,14366,sparkling wine,12.5,Beverages,12.5,2015-08
3683,2015-06-10,15,3,9997,specialty bar,5.2,Bakery & Sweets,15.600000000000001,2015-06
1971,2015-09-18,19,1,3629,sausage,3.1,Fresh Food,3.1,2015-09
3014,2015-11-11,31,3,7503,curd cheese,9.2,Dairy,27.599999999999998,2015-11
3779,2015-09-15,9,2,10367,frankfurter,5.5,Fresh Food,11.0,2015-09
2489,2015-05-04,2,3,5539,whole milk,1.8,Dairy,5.4,2015-05
3564,2015-06-27,44,1,9546,newspapers,3.2,Specialty & Seasonal,3.2,2015-06
4092,2015-09-30,26,1,11486,berries,10.8,Fresh Food,10.8,2015-09
3221,2015-01-13,45,2,8279,curd,9.8,Dairy,19.6,2015-01
1279,2015-09-06,1,3,1011,tropical fruit,7.8,Fresh Food,23.4,2015-09
2581,2015-08-22,38,3,5891,soda,0.8,Beverages,2.4000000000000004,2015-08
2295,2015-02-25,5,2,4833,rolls/buns,1.2,Bakery & Sweets,2.4,2015-02
4760,2015-02-22,25,3,14100,canned beer,1.1,Beverages,3.3000000000000003,2015-02
3649,2015-01-16,25,3,9861,canned beer,1.1,Beverages,3.3000000000000003,2015-01
1075,2015-11-19,9,1,272,frankfurter,5.5,Fresh Food,5.5,2015-11
3987,2015-08-19,4,3,11143,other vegetables,0.8,Fresh Food,2.4000000000000004,2015-08
4106,2015-08-25,2,3,11544,whole milk,1.8,Dairy,5.4,2015-08
4338,2015-06-24,2,2,12498,whole milk,1.8,Dairy,3.6,2015-06
4166,2015-11-06,7,2,11793,citrus fruit,1.5,Fresh Food,3.0,2015-11
1211,2015-03-10,9,1,767,frankfurter,5.5,Fresh Food,5.5,2015-03
3954,2015-01-21,9,3,11010,frankfurter,5.5,Fresh Food,16.5,2015-01
3928,2015-07-18,16,3,10926,butter milk,6.1,Dairy,18.299999999999997,2015-07
3827,2015-09-30,21,3,10539,hamburger meat,12.3,Fresh Food,36.900000000000006,2015-09
4699,2015-02-08,46,1,13871,pasta,3.1,Pantry Staples,3.1,2015-02
4747,2015-06-08,4,1,14055,other vegetables,0.8,Fresh Food,0.8,2015-06
3028,2015-06-09,19,2,7553,sausage,3.1,Fresh Food,6.2,2015-06
2851,2015-03-16,5,1,6913,rolls/buns,1.2,Bakery & Sweets,1.2,2015-03
4417,2015-02-25,40,3,12784,grapes,9.4,Fresh Food,28.200000000000003,2015-02
3822,2015-03-07,22,3,10528,root vegetables,1.8,Fresh Food,5.4,2015-03
2288,2015-05-31,27,1,4797,coffee,8.5,Beverages,8.5,2015-05
2184,2015-06-30,47,3,4413,popcorn,2.4,Bakery & Sweets,7.199999999999999,2015-06
4554,2015-08-27,2,3,13290,whole milk,1.8,Dairy,5.4,2015-08
3361,2015-03-05,1,1,8787,tropical fruit,7.8,Fresh Food,7.8,2015-03
2999,2015-04-17,8,1,7448,beef,19.5,Fresh Food,19.5,2015-04
2614,2015-06-25,2,3,6019,whole milk,1.8,Dairy,5.4,2015-06
4064,2015-06-05,9,3,11375,frankfurter,5.5,Fresh Food,16.5,2015-06
3567,2015-10-04,1,3,9552,tropical fruit,7.8,Fresh Food,23.4,2015-10
2587,2015-05-07,25,2,5914,canned beer,1.1,Beverages,2.2,2015-05
3783,2015-06-17,48,2,10386,finished products,6.5,Frozen & Processed Food,13.0,2015-06
1923,2015-02-14,49,2,3440,beverages,1.1,Beverages,2.2,2015-02
4835,2015-02-19,21,1,14391,hamburger meat,12.3,Fresh Food,12.3,2015-02
1514,2015-08-24,2,2,1895,whole milk,1.8,Dairy,3.6,2015-08
3154,2015-06-22,48,1,8033,finished products,6.5,Frozen & Processed Food,6.5,2015-06
1313,2015-12-25,4,1,1141,other vegetables,0.8,Fresh Food,0.8,2015-12
2794,2015-07-18,29,2,6698,ham,15.2,Fresh Food,30.4,2015-07
2359,2015-04-09,4,2,5067,other vegetables,0.8,Fresh Food,1.6,2015-04
2238,2015-03-09,45,2,4614,curd,9.8,Dairy,19.6,2015-03
3795,2015-01-17,50,3,10431,bottled beer,1.8,Beverages,5.4,2015-01
3724,2015-11-26,45,2,10142,curd,9.8,Dairy,19.6,2015-11
1152,2015-03-05,2,3,560,whole milk,1.8,Dairy,5.4,2015-03
4559,2015-03-16,2,1,13309,whole milk,1.8,Dairy,1.8,2015-03
3922,2015-02-27,51,3,10904,dessert,1.15,Bakery & Sweets,3.4499999999999997,2015-02
1709,2015-04-22,19,2,2588,sausage,3.1,Fresh Food,6.2,2015-04
2219,2015-04-17,4,1,4539,other vegetables,0.8,Fresh Food,0.8,2015-04
2206,2015-10-17,29,1,4493,ham,15.2,Fresh Food,15.2,2015-10
1752,2015-04-06,4,1,2757,other vegetables,0.8,Fresh Food,0.8,2015-04
3942,2015-11-10,4,3,10975,other vegetables,0.8,Fresh Food,2.4000000000000004,2015-11
3296,2015-08-17,38,2,8549,soda,0.8,Beverages,1.6,2015-08
2257,2015-02-05,37,1,4686,herbs,6.5,Fresh Food,6.5,2015-02
4313,2015-07-28,9,1,12387,frankfurter,5.5,Fresh Food,5.5,2015-07
2001,2015-08-21,5,1,3731,rolls/buns,1.2,Bakery & Sweets,1.2,2015-08
2449,2015-07-08,45,3,5409,curd,9.8,Dairy,29.400000000000002,2015-07
4914,2015-04-12,9,3,14661,frankfurter,5.5,Fresh Food,16.5,2015-04
2764,2015-07-24,4,2,6590,other vegetables,0.8,Fresh Food,1.6,2015-07
4187,2015-05-09,52,3,11866,dog food,12.6,Pet Care,37.8,2015-05
1392,2015-04-20,15,1,1431,specialty bar,5.2,Bakery & Sweets,5.2,2015-04
3427,2015-04-28,45,2,9005,curd,9.8,Dairy,19.6,2015-04
1411,2015-02-20,9,1,1494,frankfurter,5.5,Fresh Food,5.5,2015-02
3390,2015-11-14,38,1,8878,soda,0.8,Beverages,0.8,2015-11
4787,2015-08-01,8,3,14203,beef,19.5,Fresh Food,58.5,2015-08
3310,2015-01-17,25,2,8608,canned beer,1.1,Beverages,2.2,2015-01
1782,2015-10-10,23,3,2881,pork,7.2,Fresh Food,21.6,2015-10
3375,2015-04-26,9,3,8831,frankfurter,5.5,Fresh Food,16.5,2015-04
2760,2015-01-07,19,2,6567,sausage,3.1,Fresh Food,6.2,2015-01
4249,2015-09-13,25,1,12117,canned beer,1.1,Beverages,1.1,2015-09
2904,2015-06-06,53,1,7091,specialty chocolate,18.8,Bakery & Sweets,18.8,2015-06
4090,2015-02-26,45,2,11476,curd,9.8,Dairy,19.6,2015-02
3060,2015-07-05,25,1,7676,canned beer,1.1,Beverages,1.1,2015-07
3768,2015-10-07,2,2,10329,whole milk,1.8,Dairy,3.6,2015-10
1232,2015-01-21,5,2,840,rolls/buns,1.2,Bakery & Sweets,2.4,2015-01
1360,2015-10-23,23,3,1307,pork,7.2,Fresh Food,21.6,2015-10
1107,2015-10-01,7,2,385,citrus fruit,1.5,Fresh Food,3.0,2015-10
2865,2015-11-04,6,3,6964,pot plants,3.5,Household & Hygiene,10.5,2015-11
2958,2015-06-14,5,1,7303,rolls/buns,1.2,Bakery & Sweets,1.2,2015-06
2448,2015-07-12,11,1,5402,butter,3.2,Dairy,3.2,2015-07
1222,2015-09-24,54,1,805,condensed milk,3.5,Dairy,3.5,2015-09
2943,2015-06-20,19,1,7239,sausage,3.1,Fresh Food,3.1,2015-06
2270,2015-08-11,2,3,4730,whole milk,1.8,Dairy,5.4,2015-08
3812,2015-07-21,19,1,10491,sausage,3.1,Fresh Food,3.1,2015-07
1482,2015-11-22,49,2,1764,beverages,1.1,Beverages,2.2,2015-11
4720,2015-02-22,49,2,13950,beverages,1.1,Beverages,2.2,2015-02
1344,2015-09-04,17,2,1254,bottled water,0.5,Beverages,1.0,2015-09
2397,2015-10-04,44,3,5205,newspapers,3.2,Specialty & Seasonal,9.600000000000001,2015-10
4182,2015-05-12,55,1,11847,cleaner,11.8,Household & Hygiene,11.8,2015-05
4487,2015-07-10,19,1,13033,sausage,3.1,Fresh Food,3.1,2015-07
3467,2015-12-24,44,1,9148,newspapers,3.2,Specialty & Seasonal,3.2,2015-12
2443,2015-11-15,19,3,5381,sausage,3.1,Fresh Food,9.3,2015-11
2749,2015-01-27,28,2,6523,misc. beverages,1.2,Beverages,2.4,2015-01
4389,2015-04-13,56,2,12681,white wine,14.2,Beverages,28.4,2015-04
1674,2015-12-04,19,1,2474,sausage,3.1,Fresh Food,3.1,2015-12
4262,2015-10-16,57,2,12172,meat,8.5,Fresh Food,17.0,2015-10
2082,2015-04-07,9,2,4051,frankfurter,5.5,Fresh Food,11.0,2015-04
4494,2015-01-06,58,3,13057,ice cream,1.8,Frozen & Processed Food,5.4,2015-01
2460,2015-09-28,25,3,5444,canned beer,1.1,Beverages,3.3000000000000003,2015-09
4509,2015-11-29,1,3,13123,tropical fruit,7.8,Fresh Food,23.4,2015-11
2267,2015-07-03,57,3,4721,meat,8.5,Fresh Food,25.5,2015-07
4891,2015-09-05,2,1,14597,whole milk,1.8,Dairy,1.8,2015-09
3962,2015-09-20,19,3,11051,sausage,3.1,Fresh Food,9.3,2015-09
4964,2015-07-18,9,2,14853,frankfurter,5.5,Fresh Food,11.0,2015-07
2914,2015-11-30,57,1,7132,meat,8.5,Fresh Food,8.5,2015-11
2808,2015-05-05,22,2,6762,root vegetables,1.8,Fresh Food,3.6,2015-05
1085,2015-08-15,22,2,302,root vegetables,1.8,Fresh Food,3.6,2015-08
3808,2015-08-18,2,2,10473,whole milk,1.8,Dairy,3.6,2015-08
4149,2015-01-07,7,3,11720,citrus fruit,1.5,Fresh Food,4.5,2015-01
2331,2015-06-05,7,3,4954,citrus fruit,1.5,Fresh Food,4.5,2015-06
4475,2015-04-03,4,1,12996,other vegetables,0.8,Fresh Food,0.8,2015-04
2761,2015-04-25,7,1,6577,citrus fruit,1.5,Fresh Food,1.5,2015-04
2620,2015-12-14,19,3,6044,sausage,3.1,Fresh Food,9.3,2015-12
3206,2015-10-13,9,2,8225,frankfurter,5.5,Fresh Food,11.0,2015-10
1226,2015-04-13,59,1,819,hard cheese,4.5,Dairy,4.5,2015-04
1395,2015-03-07,60,3,1440,cream cheese,6.3,Dairy,18.9,2015-03
2465,2015-06-07,30,3,5458,turkey,12.5,Fresh Food,37.5,2015-06
3572,2015-07-09,23,3,9571,pork,7.2,Fresh Food,21.6,2015-07
4387,2015-05-08,2,2,12671,whole milk,1.8,Dairy,3.6,2015-05
1555,2015-03-27,5,3,2027,rolls/buns,1.2,Bakery & Sweets,3.5999999999999996,2015-03
1181,2015-11-16,19,3,666,sausage,3.1,Fresh Food,9.3,2015-11
2814,2015-05-11,58,3,6787,ice cream,1.8,Frozen & Processed Food,5.4,2015-05
2794,2015-09-16,61,3,6700,liquor,8.5,Beverages,25.5,2015-09
2912,2015-01-28,3,1,7126,pip fruit,3.0,Fresh Food,3.0,2015-01
4667,2015-01-12,22,1,13721,root vegetables,1.8,Fresh Food,1.8,2015-01
2235,2015-10-25,38,3,4604,soda,0.8,Beverages,2.4000000000000004,2015-10
2353,2015-05-02,38,2,5042,soda,0.8,Beverages,1.6,2015-05
3449,2015-03-08,19,1,9071,sausage,3.1,Fresh Food,3.1,2015-03
1058,2015-11-10,22,3,219,root vegetables,1.8,Fresh Food,5.4,2015-11
1027,2015-05-17,23,1,107,pork,7.2,Fresh Food,7.2,2015-05
3302,2015-05-22,23,1,8570,pork,7.2,Fresh Food,7.2,2015-05
2229,2015-05-30,14,2,4571,chocolate,11.5,Bakery & Sweets,23.0,2015-05
2188,2015-08-15,12,3,4431,fruit/vegetable juice,2.1,Beverages,6.300000000000001,2015-08
1547,2015-04-18,62,3,1999,pickled vegetables,2.7,Fresh Food,8.100000000000001,2015-04
1649,2015-06-30,17,2,2381,bottled water,0.5,Beverages,1.0,2015-06
3254,2015-09-10,9,2,8399,frankfurter,5.5,Fresh Food,11.0,2015-09
2818,2015-11-07,1,3,6806,tropical fruit,7.8,Fresh Food,23.4,2015-11
2703,2015-05-08,25,3,6348,canned beer,1.1,Beverages,3.3000000000000003,2015-05
3332,2015-01-31,22,2,8687,root vegetables,1.8,Fresh Food,3.6,2015-01
2473,2015-07-01,57,1,5488,meat,8.5,Fresh Food,8.5,2015-07
2810,2015-12-30,9,1,6770,frankfurter,5.5,Fresh Food,5.5,2015-12
1033,2015-04-22,1,2,125,tropical fruit,7.8,Fresh Food,15.6,2015-04
4222,2015-05-27,1,1,12014,tropical fruit,7.8,Fresh Food,7.8,2015-05
3679,2015-09-21,7,2,9977,citrus fruit,1.5,Fresh Food,3.0,2015-09
2212,2015-08-27,21,1,4515,hamburger meat,12.3,Fresh Food,12.3,2015-08
1507,2015-06-22,10,1,1864,chicken,7.2,Fresh Food,7.2,2015-06
2870,2015-01-21,10,3,6985,chicken,7.2,Fresh Food,21.6,2015-01
3429,2015-04-26,9,3,9012,frankfurter,5.5,Fresh Food,16.5,2015-04
4148,2015-04-09,25,1,11717,canned beer,1.1,Beverages,1.1,2015-04
2970,2015-12-30,30,1,7343,turkey,12.5,Fresh Food,12.5,2015-12
2013,2015-08-30,13,3,3771,packaged fruit/vegetables,3.5,Fresh Food,10.5,2015-08
3967,2015-05-30,46,3,11073,pasta,3.1,Pantry Staples,9.3,2015-05
2885,2015-05-15,7,3,7042,citrus fruit,1.5,Fresh Food,4.5,2015-05
3935,2015-07-02,19,2,10948,sausage,3.1,Fresh Food,6.2,2015-07
3283,2015-05-01,2,1,8497,whole milk,1.8,Dairy,1.8,2015-05
3268,2015-11-06,25,3,8457,canned beer,1.1,Beverages,3.3000000000000003,2015-11
3677,2015-04-30,7,1,9968,citrus fruit,1.5,Fresh Food,1.5,2015-04
3495,2015-06-27,63,2,9265,liquor (appetizer),11.2,Beverages,22.4,2015-06
1410,2015-10-04,7,2,1491,citrus fruit,1.5,Fresh Food,3.0,2015-10
2440,2015-06-06,19,3,5365,sausage,3.1,Fresh Food,9.3,2015-06
4088,2015-01-13,10,2,11468,chicken,7.2,Fresh Food,14.4,2015-01
2469,2015-09-23,21,1,5475,hamburger meat,12.3,Fresh Food,12.3,2015-09
4229,2015-03-06,19,3,12045,sausage,3.1,Fresh Food,9.3,2015-03
2728,2015-08-02,8,1,6441,beef,19.5,Fresh Food,19.5,2015-08
4694,2015-01-25,7,1,13843,citrus fruit,1.5,Fresh Food,1.5,2015-01
2836,2015-12-29,64,2,6858,UHT-milk,2.1,Dairy,4.2,2015-12
1311,2015-02-12,65,2,1133,candy,3.6,Bakery & Sweets,7.2,2015-02
1760,2015-01-23,44,2,2789,newspapers,3.2,Specialty & Seasonal,6.4,2015-01
3656,2015-03-02,8,2,9882,beef,19.5,Fresh Food,39.0,2015-03
3720,2015-05-28,19,2,10131,sausage,3.1,Fresh Food,6.2,2015-05
2996,2015-09-26,9,3,7439,frankfurter,5.5,Fresh Food,16.5,2015-09
1949,2015-07-22,25,1,3553,canned beer,1.1,Beverages,1.1,2015-07
4498,2015-02-11,50,1,13072,bottled beer,1.8,Beverages,1.8,2015-02
2447,2015-12-28,66,1,5399,onions,1.3,Fresh Food,1.3,2015-12
1952,2015-03-23,1,1,3562,tropical fruit,7.8,Fresh Food,7.8,2015-03
4099,2015-01-27,17,2,11511,bottled water,0.5,Beverages,1.0,2015-01
1804,2015-03-12,8,1,2975,beef,19.5,Fresh Food,19.5,2015-03
1510,2015-05-16,19,3,1879,sausage,3.1,Fresh Food,9.3,2015-05
2879,2015-04-18,67,3,7018,hair spray,5.4,Personal Care,16.200000000000003,2015-04
4899,2015-03-12,10,1,14625,chicken,7.2,Fresh Food,7.2,2015-03
4326,2015-09-29,23,1,12448,pork,7.2,Fresh Food,7.2,2015-09
1670,2015-05-17,58,3,2464,ice cream,1.8,Frozen & Processed Food,5.4,2015-05
1117,2015-05-24,57,3,429,meat,8.5,Fresh Food,25.5,2015-05
1346,2015-04-03,4,2,1259,other vegetables,0.8,Fresh Food,1.6,2015-04
1178,2015-11-15,17,3,659,bottled water,0.5,Beverages,1.5,2015-11
1649,2015-06-25,1,2,2380,tropical fruit,7.8,Fresh Food,15.6,2015-06
4651,2015-06-21,68,2,13652,photo/film,11.9,Household & Hygiene,23.8,2015-06
4243,2015-04-02,19,2,12098,sausage,3.1,Fresh Food,6.2,2015-04
4429,2015-07-21,40,2,12817,grapes,9.4,Fresh Food,18.8,2015-07
4645,2015-07-25,69,2,13625,domestic eggs,1.25,Fresh Food,2.5,2015-07
4019,2015-07-24,5,1,11243,rolls/buns,1.2,Bakery & Sweets,1.2,2015-07
4459,2015-04-26,1,3,12936,tropical fruit,7.8,Fresh Food,23.4,2015-04
3006,2015-12-27,10,2,7470,chicken,7.2,Fresh Food,14.4,2015-12
1834,2015-09-17,9,3,3089,frankfurter,5.5,Fresh Food,16.5,2015-09
3236,2015-07-04,26,3,8329,berries,10.8,Fresh Food,32.400000000000006,2015-07
1765,2015-03-11,70,2,2809,margarine,3.5,Pantry Staples,7.0,2015-03
